Variety,Shape,Sieve,Aroma,Flavor,Aftertaste,Acidity,Body,Uniformity,Balance,clean cup,Sweetness,Taster´s score,Final score
CR,FL,17,7.0,6.0,6.0,6.25,6.25,10.0,6.25,10,10,6.25,74.0
CR,FL,17,7.0,6.25,6.25,6.25,6.25,10.0,6.25,10,10,6.25,74.5
CR,FL,17,6.75,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CR,FL,17,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
CR,FL,17,6.5,6.5,6.5,6.0,6.0,10.0,6.25,10,10,6.0,73.75
CR,FL,18,6.25,6.25,6.25,6.0,6.0,10.0,6.25,10,10,6.0,73.0
CR,FL,18,7.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,73.0
CR,FL,18,6.5,6.25,6.25,6.0,6.0,10.0,6.0,10,10,6.0,73.0
CR,FL,18,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
CR,FL,18,7.0,6.5,6.0,6.0,6.0,10.0,6.0,10,10,6.0,73.5
CR,FL,18,6.5,6.25,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
CR,FL,18,6.0,6.75,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.75
OA,PE,13,7.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,73.0
OA,PE,13,6.5,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.5
OA,PE,13,7.0,6.25,6.0,6.0,6.0,10.0,6.0,10,10,6.0,73.25
OA,PE,13,7.0,6.5,6.5,6.5,6.0,10.0,6.0,10,10,6.0,74.5
OA,PE,13,7.0,7.0,7.0,7.0,7.0,10.0,7.0,10,10,7.0,79.0
OA,MI,13,6.5,6.25,6.0,6.0,6.25,10.0,6.25,10,10,6.5,73.75
OA,MI,13,7.0,7.25,6.75,7.25,7.25,10.0,7.0,10,10,7.5,80.0
OA,MI,13,7.0,6.75,6.75,6.5,6.25,10.0,6.25,10,10,6.25,75.75
OA,MI,13,6.25,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.25
OA,MI,13,7.0,7.0,7.0,7.25,7.0,10.0,7.0,10,10,7.0,79.25
OA,MI,13,7.0,6.5,6.5,6.5,7.0,10.0,7.0,10,10,7.0,77.5
OA,MI,14,6.75,7.0,6.5,6.5,6.25,10.0,6.0,10,10,6.0,75.0
OA,MI,14,7.0,7.0,7.0,7.25,7.25,10.0,7.0,10,10,7.25,79.75
OA,MI,14,6.25,6.5,6.0,6.0,6.0,10.0,6.5,10,10,6.5,73.75
OA,MI,15,6.75,6.25,6.25,6.25,6.25,10.0,7.0,10,10,6.0,74.75
OA,MI,15,6.25,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.25
OA,MI,15,6.5,6.0,6.0,6.0,6.5,10.0,6.0,10,10,6.0,73.0
OA,MI,15,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
OA,FL,13,6.5,6.5,6.5,6.5,6.25,10.0,6.5,10,10,6.5,75.25
OA,FL,13,6.25,6.25,6.0,6.0,6.0,10.0,6.0,10,10,7.0,72.5
OA,FL,13,7.0,7.0,7.0,7.25,7.25,10.0,7.0,10,10,7.25,79.75
OA,FL,13,7.25,6.5,6.5,7.25,7.25,10.0,6.75,10,10,7.0,78.5
OA,FL,14,7.0,6.0,6.0,7.0,7.0,10.0,7.0,10,10,7.0,72.0
OA,FL,14,6.5,6.75,6.25,6.5,6.75,10.0,6.5,10,10,6.5,74.75
OA,FL,15,6.25,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.25
OA,FL,16,6.25,6.0,6.0,6.25,6.0,10.0,6.25,10,10,6.5,73.25
OA,FL,16,6.5,6.0,6.5,6.0,6.75,10.0,6.5,10,10,6.0,74.25
OA,FL,16,6.5,6.25,6.0,6.25,6.0,10.0,6.0,10,10,6.25,73.25
OA,FL,16,7.0,6.5,6.5,6.25,6.25,10.0,6.25,10,10,6.5,75.25
OA,FL,16,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
OA,FL,16,6.25,6.25,6.0,6.25,6.0,10.0,6.25,10,10,6.25,73.25
OA,FL,16,7.0,7.0,7.0,7.0,7.0,10.0,7.0,10,10,7.0,79.0
OA,FL,17,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
OA,FL,17,6.75,6.25,6.25,6.0,6.25,10.0,6.25,10,10,6.25,74.0
OA,FL,17,6.25,6.5,6.25,6.0,6.25,10.0,6.0,10,10,6.25,73.5
OA,FL,17,6.25,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.25,72.5
OA,FL,17,6.0,6.0,6.0,6.0,6.0,10.0,6.0,10,10,6.0,72.0
OA,FL,17,6.5,6.25,6.0,6.0,6.0,10.0,6.25,10,10,6.25,73.25
OA,FL,17,7.0,7.0,7.0,7.0,7.0,10.0,7.0,10,10,7.0,79.0
